name,place,num,order
الفاتحة,مكية,7,5
البقرة,مدنية,286,87
آل عمران,مدنية,200,89
النساء,مدنية,176,92
المائدة,مدنية,120,112
الأنعام,مكية,165,55
الأعراف,مكية,206,39
الأنفال,مدنية,75,88
التوبة,مدنية,129,113
يونس,مكية,109,51
هود,مكية,123,52
يوسف,مكية,111,53
الرعد,مدنية,43,96
إبراهيم,مكية,52,72
الحجر,مكية,99,54
النحل,مكية,128,70
الإسراء,مكية,111,50
الكهف,مكية,110,69
مريم,مكية,98,44
طه,مكية,135,45
الأنبياء,مكية,112,73
الحج,مدنية,78,103
المؤمنون,مكية,118,74
النور,مدنية,64,102
الفرقان,مكية,77,42
الشعراء,مكية,227,47
النمل,مكية,93,48
القصص,مكية,88,49
العنكبوت,مكية,69,85
الروم,مكية,60,84
لقمان,مكية,34,57
السجدة,مكية,30,75
الأحزاب,مدنية,73,90
سبأ,مكية,54,58
فاطر,مكية,45,43
يس,مكية,83,41
الصافات,مكية,182,38
ص,مكية,88,59
الزمر,مكية,75,60
غافر,مكية,85,61
فصلت,مكية,54,62
الشورى,مكية,53,63
الزخرف,مكية,89,64
الدخان,مكية,59,65
الجاثية,مكية,37,66
الأحقاف,مكية,35,95
محمد,مدنية,38,111
الفتح,مدنية,29,106
الحجرات,مدنية,18,34
ق,مكية,45,67
الذاريات,مكية,60,76
الطور,مكية,49,23
النجم,مكية,62,37
القمر,مكية,55,97
الرحمن,مدنية,78,46
الواقعة,مكية,96,94
الحديد,مدنية,29,105
المجادلة,مدنية,22,101
الحشر,مدنية,24,91
الممتحنة,مدنية,13,109
الصف,مدنية,14,110
الجمعة,مدنية,11,104
المنافقون,مدنية,11,108
التغابن,مدنية,18,99
الطلاق,مدنية,12,107
التحريم,مدنية,12,77
الملك,مكية,30,2
القلم,مكية,52,78
الحاقة,مكية,52,79
المعارج,مكية,44,71
نوح,مكية,28,40
الجن,مكية,28,3
المزمل,مكية,20,56
المدثر,مكية,56,4
القيامة,مكية,40,31
الإنسان,مدنية,31,98
المرسلات,مكية,50,33
النبأ,مكية,40,80
النازعات,مكية,46,81
عبس,مكية,42,24
التكوير,مكية,29,7
الانفطار,مكية,19,82
المطففين,مكية,36,86
الانشقاق,مكية,25,83
البروج,مكية,22,27
الطارق,مكية,17,36
الأعلى,مكية,19,8
الغاشية,مكية,26,68
الفجر,مكية,30,10
البلد,مكية,20,35
الشمس,مكية,15,26
الليل,مكية,21,9
الضحى,مكية,11,11
الشرح,مكية,8,12
التين,مكية,8,28
العلق,مكية,19,1
القدر,مكية,5,25
البينة,مدنية,8,100
الزلزلة,مدنية,8,93
العاديات,مكية,11,14
القارعة,مكية,11,30
التكاثر,مكية,8,16
العصر,مكية,3,13
الهمزة,مكية,9,32
الفيل,مكية,5,19
قريش,مكية,4,29
الماعون,مكية,7,17
الكوثر,مكية,3,15
الكافرون,مكية,6,18
النصر,مدنية,3,114
المسد,مكية,5,6
الإخلاص,مكية,4,22
الفلق,مكية,5,20
الناس,مكية,6,21
